name,description,price,quantity
Bronze Bracelet,"Suitable for all occasions, durable and fashionable.",120.31,20
Perfume,"Made from genuine materials, a perfect gift item.",142.18,16
Wrist Watch,"Elegant and stylish, made with high-quality materials.",121.57,17
Coffee Mug,"Made from genuine materials, a perfect gift item.",149.83,7
Handbag,"Elegant and stylish, made with high-quality materials.",133.5,18
Bronze Bracelet,"Elegant and stylish, made with high-quality materials.",103.79,5
Handbag,"Made from genuine materials, a perfect gift item.",57.7,17
Smartphone Case,"Elegant and stylish, made with high-quality materials.",79.5,8
Bluetooth Speaker,"Trendy and comfortable, designed for modern lifestyle.",16.48,7
Gold Necklace,"Trendy and comfortable, designed for modern lifestyle.",111.44,6
Wireless Headphones,"Trendy and comfortable, designed for modern lifestyle.",141.58,20
Diamond Earrings,"Elegant and stylish, made with high-quality materials.",58.05,11
Leather Belt,"Crafted with precision, perfect for daily use.",46.78,13
Silver Ring,"Made from genuine materials, a perfect gift item.",119.56,13
Gold Necklace,"Crafted with precision, perfect for daily use.",103.94,4
Perfume,"Trendy and comfortable, designed for modern lifestyle.",64.16,2
Backpack,"Made from genuine materials, a perfect gift item.",63.14,19
Leather Belt,"Elegant and stylish, made with high-quality materials.",48.4,1
Laptop Bag,"Elegant and stylish, made with high-quality materials.",93.7,14
Wireless Headphones,"Suitable for all occasions, durable and fashionable.",31.89,10
Perfume,"Made from genuine materials, a perfect gift item.",138.97,2
Leather Belt,"Trendy and comfortable, designed for modern lifestyle.",91.66,8
Running Shoes,"Made from genuine materials, a perfect gift item.",103.6,1
Wireless Headphones,"Made from genuine materials, a perfect gift item.",40.83,15
Bluetooth Speaker,"Elegant and stylish, made with high-quality materials.",112.76,20
Wrist Watch,"Trendy and comfortable, designed for modern lifestyle.",31.89,13
Smartphone Case,"Trendy and comfortable, designed for modern lifestyle.",125.49,14
Casual T-Shirt,"Made from genuine materials, a perfect gift item.",82.71,13
Leather Wallet,"Elegant and stylish, made with high-quality materials.",11.93,11
Leather Belt,"Suitable for all occasions, durable and fashionable.",64.31,15
Backpack,"Crafted with precision, perfect for daily use.",25.92,17
Wireless Headphones,"Made from genuine materials, a perfect gift item.",61.67,13
Laptop Bag,"Suitable for all occasions, durable and fashionable.",54.37,19
Bronze Bracelet,"Made from genuine materials, a perfect gift item.",92.73,16
Silver Ring,"Made from genuine materials, a perfect gift item.",14.06,4
Coffee Mug,"Trendy and comfortable, designed for modern lifestyle.",109.1,20
Bronze Bracelet,"Suitable for all occasions, durable and fashionable.",134.03,2
Handbag,"Suitable for all occasions, durable and fashionable.",25.04,8
Bronze Bracelet,"Trendy and comfortable, designed for modern lifestyle.",139.63,16
Gold Necklace,"Elegant and stylish, made with high-quality materials.",82.63,4
Sunglasses,"Made from genuine materials, a perfect gift item.",74.68,4
Handbag,"Suitable for all occasions, durable and fashionable.",85.97,11
Silver Ring,"Suitable for all occasions, durable and fashionable.",60.5,8
Diamond Earrings,"Crafted with precision, perfect for daily use.",101.5,17
Laptop Stand,"Suitable for all occasions, durable and fashionable.",110.48,5
Casual T-Shirt,"Crafted with precision, perfect for daily use.",112.82,11
Sunglasses,"Crafted with precision, perfect for daily use.",125.75,12
Wireless Headphones,"Suitable for all occasions, durable and fashionable.",83.61,10
Leather Wallet,"Trendy and comfortable, designed for modern lifestyle.",147.0,20
Backpack,"Elegant and stylish, made with high-quality materials.",22.5,6
Silver Ring,"Suitable for all occasions, durable and fashionable.",53.55,12
Leather Wallet,"Elegant and stylish, made with high-quality materials.",54.98,6
Backpack,"Trendy and comfortable, designed for modern lifestyle.",117.54,13
Diamond Earrings,"Made from genuine materials, a perfect gift item.",49.04,18
Coffee Mug,"Made from genuine materials, a perfect gift item.",59.82,17
Handbag,"Elegant and stylish, made with high-quality materials.",14.99,7
Backpack,"Elegant and stylish, made with high-quality materials.",136.86,3
Bluetooth Speaker,"Crafted with precision, perfect for daily use.",47.98,9
Bronze Bracelet,"Trendy and comfortable, designed for modern lifestyle.",37.63,7
Smartphone Case,"Elegant and stylish, made with high-quality materials.",127.94,14
Wireless Headphones,"Elegant and stylish, made with high-quality materials.",80.96,18
Wrist Watch,"Trendy and comfortable, designed for modern lifestyle.",133.61,11
Leather Belt,"Crafted with precision, perfect for daily use.",44.09,6
Sunglasses,"Trendy and comfortable, designed for modern lifestyle.",66.9,9
Running Shoes,"Suitable for all occasions, durable and fashionable.",51.36,3
Sunglasses,"Trendy and comfortable, designed for modern lifestyle.",86.71,6
Pearl Necklace,"Elegant and stylish, made with high-quality materials.",39.37,11
Laptop Bag,"Made from genuine materials, a perfect gift item.",60.81,11
Handbag,"Elegant and stylish, made with high-quality materials.",11.93,3
Wireless Headphones,"Trendy and comfortable, designed for modern lifestyle.",32.72,14
Wireless Headphones,"Elegant and stylish, made with high-quality materials.",25.66,3
Gold Necklace,"Made from genuine materials, a perfect gift item.",59.05,1
Coffee Mug,"Suitable for all occasions, durable and fashionable.",12.36,16
Gold Necklace,"Crafted with precision, perfect for daily use.",143.65,3
Perfume,"Crafted with precision, perfect for daily use.",149.05,9
Leather Wallet,"Elegant and stylish, made with high-quality materials.",43.19,1
Smartphone Case,"Suitable for all occasions, durable and fashionable.",143.17,7
Sunglasses,"Trendy and comfortable, designed for modern lifestyle.",142.12,4
Gold Necklace,"Made from genuine materials, a perfect gift item.",134.03,1
Wireless Headphones,"Elegant and stylish, made with high-quality materials.",124.32,12
Leather Wallet,"Crafted with precision, perfect for daily use.",51.37,15
Diamond Earrings,"Made from genuine materials, a perfect gift item.",136.04,10
Smartphone Case,"Made from genuine materials, a perfect gift item.",52.12,20
Bluetooth Speaker,"Made from genuine materials, a perfect gift item.",93.13,3
Gold Necklace,"Elegant and stylish, made with high-quality materials.",96.71,14
Sunglasses,"Made from genuine materials, a perfect gift item.",24.06,10
Laptop Stand,"Suitable for all occasions, durable and fashionable.",105.95,16
Bluetooth Speaker,"Suitable for all occasions, durable and fashionable.",19.79,11
Laptop Stand,"Trendy and comfortable, designed for modern lifestyle.",41.05,11
Diamond Earrings,"Elegant and stylish, made with high-quality materials.",60.87,5
Smartphone Case,"Trendy and comfortable, designed for modern lifestyle.",21.01,6
Sunglasses,"Suitable for all occasions, durable and fashionable.",67.79,20
Diamond Earrings,"Elegant and stylish, made with high-quality materials.",141.84,13
Laptop Stand,"Trendy and comfortable, designed for modern lifestyle.",75.1,6
Laptop Bag,"Elegant and stylish, made with high-quality materials.",27.86,15
Pearl Necklace,"Crafted with precision, perfect for daily use.",16.12,13
Laptop Stand,"Trendy and comfortable, designed for modern lifestyle.",12.42,1
Backpack,"Made from genuine materials, a perfect gift item.",144.42,19
Silver Ring,"Elegant and stylish, made with high-quality materials.",79.6,2
Handbag,"Trendy and comfortable, designed for modern lifestyle.",97.49,9
